^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^ACA^|^01^|^00^|^1^|^001^|^Izin berusaha sub sektor penangkapan/pengangkutan ikan yang diterbitkan^|^0^|^^|^0^|^^|^^|^5400^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^BDC^|^01^|^00^|^1^|^001^|^Nelayan yang difasilitasi perlindungannya^|^0^|^^|^0^|^^|^^|^34000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^PCA^|^01^|^00^|^1^|^001^|^Izin alokasi usaha perikanan tangkap (SIUP) yang diterbitkan^|^0^|^^|^0^|^^|^^|^10000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDC^|^01^|^00^|^1^|^001^|^Bidang tanah nelayan yang difasilitasi sertifikatnya^|^0^|^^|^0^|^^|^^|^10000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDC^|^01^|^00^|^1^|^003^|^Nelayan yang difasilitasi akses pendanaan usahanya^|^0^|^^|^0^|^^|^^|^844^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDC^|^01^|^00^|^1^|^002^|^Nelayan yang difasilitasi pengembangan usahanya^|^0^|^^|^0^|^^|^^|^3000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDD^|^01^|^00^|^1^|^001^|^Kelompok Usaha Bersama yang meningkat kapasitas kelembagaannya^|^0^|^^|^0^|^^|^^|^3000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDD^|^01^|^00^|^1^|^004^|^Kelompok Usaha Bersama (KUB) yang Meningkat Kapasitas Kelembagaannya (MP Korporasi)^|^0^|^^|^0^|^^|^^|^5^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QDD^|^01^|^00^|^1^|^002^|^Kampung nelayan yang difasilitasi penataannya^|^0^|^^|^0^|^^|^^|^40^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QEH^|^01^|^00^|^1^|^001^|^Kampung nelayan yang ditingkatkan fasilitasnya (Kampung nelayan maju/Kalaju)^|^0^|^^|^0^|^^|^^|^100^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QEH^|^01^|^00^|^1^|^002^|^Bantuan sarana pengembangan usaha nelayan (MP Korporasi)^|^0^|^^|^0^|^^|^^|^5^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^QKA^|^01^|^00^|^1^|^003^|^Nelayan yang diidentifikasi identitasnya dalam rangka perlindungan nelayan^|^0^|^^|^0^|^^|^^|^150000^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2339^|^UBA^|^01^|^00^|^1^|^001^|^Sistem perizinan pusat-daerah yang terintegrasi^|^0^|^^|^0^|^^|^^|^34^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2341^|^ABR^|^01^|^00^|^1^|^001^|^Rekomendasi kebijakan pengelolaan SDI Perairan Darat^|^0^|^^|^0^|^^|^^|^3^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2341^|^ABR^|^01^|^00^|^1^|^002^|^Rekomendasi kebijakan pengelolaan SDI Zona Ekonomi Ekslusif Indonesia (ZEEI) dan laut lepas ^|^0^|^^|^0^|^^|^^|^3^|^0^|^00^|^^|^^|^^
^2023^|^01^|^238720^|^032^|^03^|^HB^|^2341^|^ABR^|^01^|^00^|^1^|^003^|^Rekomendasi kebijakan alokasi SDI^|^0^|^^|^0^|^^|^^|^11^|^0^|^00^|^^|^^|^^
